name,estimate
WINKLER CO.2000,37833
WISE CO.2000,49881
WOOD CO.2000,43492
YOAKUM CO.2000,43452
YOUNG CO.2000,41205
ZAPATA CO.2000,32725
ZAVALA CO.2000,25372
ANDERSON CO.2009,39355
ANDREWS CO.2009,47227
ANGELINA CO.2009,38862
ARANSAS CO.2009,41172
ARCHER CO.2009,51792
ARMSTRONG CO.2009,58516
ATASCOSA CO.2009,41178
AUSTIN CO.2009,51086
BAILEY CO.2009,35585
BANDERA CO.2009,44244
BASTROP CO.2009,50585
BAYLOR CO.2009,32569
BEE CO.2009,35759
BELL CO.2009,46473
BEXAR CO.2009,45688
BLANCO CO.2009,50225
BORDEN CO.2009,55200
BOSQUE CO.2009,44244
BOWIE CO.2009,40569
BRAZORIA CO.2009,62570
BRAZOS CO.2009,34688
BREWSTER CO.2009,34640
BRISCOE CO.2009,31141
BROOKS CO.2009,19425
BROWN CO.2009,38531
BURLESON CO.2009,39522
BURNET CO.2009,46463
CALDWELL CO.2009,41387
CALHOUN CO.2009,43305
CALLAHAN CO.2009,44470
CAMERON CO.2009,30034
CAMP CO.2009,33891
CARSON CO.2009,53425
CASS CO.2009,36693
CASTRO CO.2009,34849
CHAMBERS CO.2009,60451
CHEROKEE CO.2009,36571
CHILDRESS CO.2009,34953
CLAY CO.2009,51145
COCHRAN CO.2009,34744
COKE CO.2009,33375
COLEMAN CO.2009,27538
COLLIN CO.2009,80545
COLLINGSWORTH CO.2009,39524
COLORADO CO.2009,39031
COMAL CO.2009,63544
COMANCHE CO.2009,34068
CONCHO CO.2009,45625
COOKE CO.2009,50030
CORYELL CO.2009,45678
COTTLE CO.2009,32009
CRANE CO.2009,43185
CROCKETT CO.2009,47143
CROSBY CO.2009,34485
CULBERSON CO.2009,38365
DALLAM CO.2009,40714
DALLAS CO.2009,47059
DAWSON CO.2009,33586
DEAF SMITH CO.2009,38849
DELTA CO.2009,41103
DENTON CO.2009,70002
DEWITT CO.2009,37621
DICKENS CO.2009,28750
DIMMIT CO.2009,24268
DONLEY CO.2009,36250
DUVAL CO.2009,26117
EASTLAND CO.2009,33149
ECTOR CO.2009,44322
EDWARDS CO.2009,34426
ELLIS CO.2009,58809
EL PASO CO.2009,35249
ERATH CO.2009,37729
FALLS CO.2009,30502
FANNIN CO.2009,42423
FAYETTE CO.2009,44031
FISHER CO.2009,37601
FLOYD CO.2009,31588
FOARD CO.2009,24861
FORT BEND CO.2009,80638
FRANKLIN CO.2009,42189
FREESTONE CO.2009,44303
FRIO CO.2009,34531
GAINES CO.2009,47808
GALVESTON CO.2009,54398
GARZA CO.2009,31200
GILLESPIE CO.2009,52403
GLASSCOCK CO.2009,54000
GOLIAD CO.2009,50486
GONZALES CO.2009,37103
GRAY CO.2009,36788
GRAYSON CO.2009,45171
GREGG CO.2009,42499
GRIMES CO.2009,39403
GUADALUPE CO.2009,59375
HALE CO.2009,34820
HALL CO.2009,29032
HAMILTON CO.2009,37796
HANSFORD CO.2009,46799
HARDEMAN CO.2009,36385
HARDIN CO.2009,52515
HARRIS CO.2009,50569
HARRISON CO.2009,41966
HARTLEY CO.2009,57083
HASKELL CO.2009,32139
HAYS CO.2009,52409
HEMPHILL CO.2009,60435
HENDERSON CO.2009,38632
HIDALGO CO.2009,30076
HILL CO.2009,38159
HOCKLEY CO.2009,45384
HOOD CO.2009,52870
HOPKINS CO.2009,39966
HOUSTON CO.2009,31911
HOWARD CO.2009,36931
HUDSPETH CO.2009,28292
HUNT CO.2009,42894
HUTCHINSON CO.2009,41703
IRION CO.2009,43536
JACK CO.2009,43409
JACKSON CO.2009,48509
JASPER CO.2009,37020
JEFF DAVIS CO.2009,39550
JEFFERSON CO.2009,41420
JIM HOGG CO.2009,33635
JIM WELLS CO.2009,32816
JOHNSON CO.2009,53444
JONES CO.2009,40947
KARNES CO.2009,35101
KAUFMAN CO.2009,55857
KENDALL CO.2009,68389
KENEDY CO.2009,25417
KENT CO.2009,38092
KERR CO.2009,43371
KIMBLE CO.2009,42188
KING CO.2009,48182
KINNEY CO.2009,24024
KLEBERG CO.2009,34652
KNOX CO.2009,31926
LAMAR CO.2009,37029
LAMB CO.2009,35716
LAMPASAS CO.2009,44301
LA SALLE CO.2009,31838
LAVACA CO.2009,41696
LEE CO.2009,45161
LEON CO.2009,38067
LIBERTY CO.2009,44730
LIMESTONE CO.2009,39119
LIPSCOMB CO.2009,48646
LIVE OAK CO.2009,41652
LLANO CO.2009,42381
LOVING CO.2009,81328
LUBBOCK CO.2009,40467
LYNN CO.2009,39148
MCCULLOCH CO.2009,36495
MCLENNAN CO.2009,40038
MCMULLEN CO.2009,40550
MADISON CO.2009,33952
MARION CO.2009,30385
MARTIN CO.2009,37463
MASON CO.2009,37847
MATAGORDA CO.2009,40307
MAVERICK CO.2009,30123
MEDINA CO.2009,46348
MENARD CO.2009,31016
MIDLAND CO.2009,52611
MILAM CO.2009,37565
MILLS CO.2009,34019
MITCHELL CO.2009,43009
MONTAGUE CO.2009,41677
MONTGOMERY CO.2009,64971
MOORE CO.2009,41862
MORRIS CO.2009,37173
MOTLEY CO.2009,33250
NACOGDOCHES CO.2009,32487
NAVARRO CO.2009,39555
NEWTON CO.2009,36611
NOLAN CO.2009,37481
NUECES CO.2009,42356
OCHILTREE CO.2009,48662
OLDHAM CO.2009,48214
ORANGE CO.2009,45608
PALO PINTO CO.2009,39300
PANOLA CO.2009,41309
PARKER CO.2009,61415
PARMER CO.2009,36698
PECOS CO.2009,34466
POLK CO.2009,32026
POTTER CO.2009,34827
PRESIDIO CO.2009,29492
RAINS CO.2009,40873
RANDALL CO.2009,54311
REAGAN CO.2009,51619
REAL CO.2009,29796
RED RIVER CO.2009,38053
REEVES CO.2009,33569
REFUGIO CO.2009,39914
ROBERTS CO.2009,59097
ROBERTSON CO.2009,37941
ROCKWALL CO.2009,80193
RUNNELS CO.2009,37980
RUSK CO.2009,44071
SABINE CO.2009,32139
SAN AUGUSTINE CO.2009,26660
SAN JACINTO CO.2009,42043
SAN PATRICIO CO.2009,43748
SAN SABA CO.2009,35549
SCHLEICHER CO.2009,52872
SCURRY CO.2009,39665
SHACKELFORD CO.2009,44429
SHELBY CO.2009,31866
SHERMAN CO.2009,40231
SMITH CO.2009,45447
SOMERVELL CO.2009,48566
STARR CO.2009,21512
STEPHENS CO.2009,34663
STERLING CO.2009,38750
STONEWALL CO.2009,46121
SUTTON CO.2009,54557
SWISHER CO.2009,35060
TARRANT CO.2009,54647
TAYLOR CO.2009,40363
TERRELL CO.2009,35900
TERRY CO.2009,34310
THROCKMORTON CO.2009,34239
TITUS CO.2009,39750
TOM GREEN CO.2009,40753
TRAVIS CO.2009,54044
TRINITY CO.2009,36519
TYLER CO.2009,33548
UPSHUR CO.2009,42256
UPTON CO.2009,42940
UVALDE CO.2009,32331
VAL VERDE CO.2009,34150
VAN ZANDT CO.2009,42271
VICTORIA CO.2009,45859
WALKER CO.2009,34214
WALLER CO.2009,43865
WARD CO.2009,40514
WASHINGTON CO.2009,43791
WEBB CO.2009,35964
WHARTON CO.2009,42695
WHEELER CO.2009,40603
WICHITA CO.2009,42999
WILBARGER CO.2009,36338
WILLACY CO.2009,22747
WILLIAMSON CO.2009,69406
WILSON CO.2009,59347
WINKLER CO.2009,40074
WISE CO.2009,55703
WOOD CO.2009,39480
YOAKUM CO.2009,48235
YOUNG CO.2009,38195
ZAPATA CO.2009,20525
ZAVALA CO.2009,22964
ANDERSON CO.2010,40378
ANDREWS CO.2010,48699
ANGELINA CO.2010,39148
ARANSAS CO.2010,42179
ARCHER CO.2010,50891
ARMSTRONG CO.2010,60530
ATASCOSA CO.2010,42927
AUSTIN CO.2010,53263
BAILEY CO.2010,42375
BANDERA CO.2010,44352
BASTROP CO.2010,51829
BAYLOR CO.2010,33459
BEE CO.2010,40278
BELL CO.2010,48618
BEXAR CO.2010,47048
BLANCO CO.2010,46128
BORDEN CO.2010,58409
BOSQUE CO.2010,45288
BOWIE CO.2010,42550
BRAZORIA CO.2010,65607
BRAZOS CO.2010,37898
BREWSTER CO.2010,35799
BRISCOE CO.2010,34196
BROOKS CO.2010,19959
BROWN CO.2010,38832
BURLESON CO.2010,43185
BURNET CO.2010,48187
CALDWELL CO.2010,41594
CALHOUN CO.2010,43258
CALLAHAN CO.2010,44596
CAMERON CO.2010,31264
CAMP CO.2010,36029
CARSON CO.2010,56106
CASS CO.2010,36360
CASTRO CO.2010,35087
CHAMBERS CO.2010,66764
CHEROKEE CO.2010,36966
CHILDRESS CO.2010,42004
CLAY CO.2010,50881
COCHRAN CO.2010,37446
COKE CO.2010,38702
COLEMAN CO.2010,26951
COLLIN CO.2010,80504
COLLINGSWORTH CO.2010,39712
COLORADO CO.2010,41145
COMAL CO.2010,64752
COMANCHE CO.2010,35218
CONCHO CO.2010,49063
COOKE CO.2010,48899
CORYELL CO.2010,47374
COTTLE CO.2010,33859
CRANE CO.2010,50425
CROCKETT CO.2010,50653
CROSBY CO.2010,36301
CULBERSON CO.2010,35500
DALLAM CO.2010,47073
DALLAS CO.2010,47974
DAWSON CO.2010,33623
DEAF SMITH CO.2010,41127
DELTA CO.2010,37908
DENTON CO.2010,70622
DEWITT CO.2010,40668
DICKENS CO.2010,33813
DIMMIT CO.2010,25882
DONLEY CO.2010,46130
DUVAL CO.2010,30493
EASTLAND CO.2010,32452
ECTOR CO.2010,45815
EDWARDS CO.2010,40163
ELLIS CO.2010,60877
EL PASO CO.2010,36333
ERATH CO.2010,39200
FALLS CO.2010,31083
FANNIN CO.2010,44551
FAYETTE CO.2010,45450
FISHER CO.2010,41458
FLOYD CO.2010,35240
FOARD CO.2010,30417
FORT BEND CO.2010,79845
FRANKLIN CO.2010,45625
FREESTONE CO.2010,44560
FRIO CO.2010,35940
GAINES CO.2010,46393
GALVESTON CO.2010,58317
GARZA CO.2010,35750
GILLESPIE CO.2010,52682
GLASSCOCK CO.2010,61184
GOLIAD CO.2010,51786
GONZALES CO.2010,37094
GRAY CO.2010,40442
GRAYSON CO.2010,46875
GREGG CO.2010,43367
GRIMES CO.2010,39429
GUADALUPE CO.2010,61274
HALE CO.2010,36509
HALL CO.2010,29219
HAMILTON CO.2010,40808
HANSFORD CO.2010,52239
HARDEMAN CO.2010,36295
HARDIN CO.2010,52755
HARRIS CO.2010,51444
HARRISON CO.2010,44425
HARTLEY CO.2010,66583
HASKELL CO.2010,35295
HAYS CO.2010,56353
HEMPHILL CO.2010,62159
HENDERSON CO.2010,39779
HIDALGO CO.2010,31879
HILL CO.2010,39293
HOCKLEY CO.2010,46430
HOOD CO.2010,54882
HOPKINS CO.2010,41642
HOUSTON CO.2010,31929
