name,estimate
SAN LUIS OBISPO CO.2015,60691
SAN MATEO CO.2015,93623
SANTA BARBARA CO.2015,63985
SANTA CLARA CO.2015,96310
SANTA CRUZ CO.2015,67256
SHASTA CO.2015,44620
SIERRA CO.2015,42833
SISKIYOU CO.2015,37170
SOLANO CO.2015,66828
SONOMA CO.2015,64240
STANISLAUS CO.2015,50125
SUTTER CO.2015,52017
TEHAMA CO.2015,41001
TRINITY CO.2015,34974
TULARE CO.2015,42031
TUOLUMNE CO.2015,50306
VENTURA CO.2015,77348
YOLO CO.2015,54989
YUBA CO.2015,46892
ALAMEDA CO.2016,79831
ALPINE CO.2016,62375
AMADOR CO.2016,57032
BUTTE CO.2016,44366
CALAVERAS CO.2016,53502
COLUSA CO.2016,54946
CONTRA COSTA CO.2016,82881
DEL NORTE CO.2016,42363
EL DORADO CO.2016,72586
FRESNO CO.2016,45963
GLENN CO.2016,41699
HUMBOLDT CO.2016,42685
IMPERIAL CO.2016,42560
INYO CO.2016,47278
KERN CO.2016,49788
KINGS CO.2016,47241
LAKE CO.2016,36132
LASSEN CO.2016,51457
LOS ANGELES CO.2016,57952
MADERA CO.2016,45742
MARIN CO.2016,100310
MARIPOSA CO.2016,49265
MENDOCINO CO.2016,43510
MERCED CO.2016,44397
MODOC CO.2016,41194
MONO CO.2016,58937
MONTEREY CO.2016,60889
NAPA CO.2016,74609
NEVADA CO.2016,57429
ORANGE CO.2016,78145
PLACER CO.2016,76926
PLUMAS CO.2016,50125
RIVERSIDE CO.2016,57972
SACRAMENTO CO.2016,57509
SAN BENITO CO.2016,73814
SAN BERNARDINO CO.2016,54469
SAN DIEGO CO.2016,66529
SAN FRANCISCO CO.2016,87701
SAN JOAQUIN CO.2016,55045
SAN LUIS OBISPO CO.2016,64014
SAN MATEO CO.2016,98546
SANTA BARBARA CO.2016,65161
SANTA CLARA CO.2016,101173
SANTA CRUZ CO.2016,70088
SHASTA CO.2016,45582
SIERRA CO.2016,43984
SISKIYOU CO.2016,38524
SOLANO CO.2016,69227
SONOMA CO.2016,66833
STANISLAUS CO.2016,51591
SUTTER CO.2016,52943
TEHAMA CO.2016,40687
TRINITY CO.2016,35270
TULARE CO.2016,42789
TUOLUMNE CO.2016,50731
VENTURA CO.2016,78593
YOLO CO.2016,57663
YUBA CO.2016,48739
ALAMEDA CO.2017,85743
ALPINE CO.2017,63438
AMADOR CO.2017,60636
BUTTE CO.2017,46516
CALAVERAS CO.2017,54800
COLUSA CO.2017,56481
CONTRA COSTA CO.2017,88456
DEL NORTE CO.2017,41287
EL DORADO CO.2017,74885
FRESNO CO.2017,48730
GLENN CO.2017,46260
HUMBOLDT CO.2017,43718
IMPERIAL CO.2017,44779
INYO CO.2017,51500
KERN CO.2017,50826
KINGS CO.2017,49742
LAKE CO.2017,40446
LASSEN CO.2017,54083
LOS ANGELES CO.2017,61015
MADERA CO.2017,48210
MARIN CO.2017,104703
MARIPOSA CO.2017,51385
MENDOCINO CO.2017,46528
MERCED CO.2017,46338
MODOC CO.2017,39296
MONO CO.2017,60595
MONTEREY CO.2017,63249
NAPA CO.2017,79637
NEVADA CO.2017,60610
ORANGE CO.2017,81851
PLACER CO.2017,80488
PLUMAS CO.2017,50266
RIVERSIDE CO.2017,60807
SACRAMENTO CO.2017,60239
SAN BENITO CO.2017,80760
SAN BERNARDINO CO.2017,57156
SAN DIEGO CO.2017,70588
SAN FRANCISCO CO.2017,96265
SAN JOAQUIN CO.2017,57813
SAN LUIS OBISPO CO.2017,67175
SAN MATEO CO.2017,105667
SANTA BARBARA CO.2017,68023
SANTA CLARA CO.2017,106761
SANTA CRUZ CO.2017,73663
SHASTA CO.2017,47258
SIERRA CO.2017,44190
SISKIYOU CO.2017,40884
SOLANO CO.2017,72950
SONOMA CO.2017,71769
STANISLAUS CO.2017,54260
SUTTER CO.2017,54347
TEHAMA CO.2017,42512
TRINITY CO.2017,36563
TULARE CO.2017,44871
TUOLUMNE CO.2017,54325
VENTURA CO.2017,81972
YOLO CO.2017,61621
YUBA CO.2017,51776
ALAMEDA CO.2018,85743
ALPINE CO.2018,63438
AMADOR CO.2018,60636
BUTTE CO.2018,46516
CALAVERAS CO.2018,54800
COLUSA CO.2018,56481
CONTRA COSTA CO.2018,88456
DEL NORTE CO.2018,41287
EL DORADO CO.2018,74885
FRESNO CO.2018,48730
GLENN CO.2018,46260
HUMBOLDT CO.2018,43718
IMPERIAL CO.2018,44779
INYO CO.2018,51500
KERN CO.2018,50826
KINGS CO.2018,49742
LAKE CO.2018,40446
LASSEN CO.2018,54083
LOS ANGELES CO.2018,61015
MADERA CO.2018,48210
MARIN CO.2018,104703
MARIPOSA CO.2018,51385
MENDOCINO CO.2018,46528
MERCED CO.2018,46338
MODOC CO.2018,39296
MONO CO.2018,60595
MONTEREY CO.2018,63249
NAPA CO.2018,79637
NEVADA CO.2018,60610
ORANGE CO.2018,81851
PLACER CO.2018,80488
PLUMAS CO.2018,50266
RIVERSIDE CO.2018,60807
SACRAMENTO CO.2018,60239
SAN BENITO CO.2018,80760
SAN BERNARDINO CO.2018,57156
SAN DIEGO CO.2018,70588
SAN FRANCISCO CO.2018,96265
SAN JOAQUIN CO.2018,57813
SAN LUIS OBISPO CO.2018,67175
SAN MATEO CO.2018,105667
SANTA BARBARA CO.2018,68023
SANTA CLARA CO.2018,106761
SANTA CRUZ CO.2018,73663
SHASTA CO.2018,47258
SIERRA CO.2018,44190
SISKIYOU CO.2018,40884
SOLANO CO.2018,72950
SONOMA CO.2018,71769
STANISLAUS CO.2018,54260
SUTTER CO.2018,54347
TEHAMA CO.2018,42512
TRINITY CO.2018,36563
TULARE CO.2018,44871
TUOLUMNE CO.2018,54325
VENTURA CO.2018,81972
YOLO CO.2018,61621
YUBA CO.2018,51776
ALAMEDA CO.2019,85743
ALPINE CO.2019,63438
AMADOR CO.2019,60636
BUTTE CO.2019,46516
CALAVERAS CO.2019,54800
COLUSA CO.2019,56481
CONTRA COSTA CO.2019,88456
DEL NORTE CO.2019,41287
EL DORADO CO.2019,74885
FRESNO CO.2019,48730
GLENN CO.2019,46260
HUMBOLDT CO.2019,43718
IMPERIAL CO.2019,44779
INYO CO.2019,51500
KERN CO.2019,50826
KINGS CO.2019,49742
LAKE CO.2019,40446
LASSEN CO.2019,54083
LOS ANGELES CO.2019,61015
MADERA CO.2019,48210
MARIN CO.2019,104703
MARIPOSA CO.2019,51385
MENDOCINO CO.2019,46528
MERCED CO.2019,46338
MODOC CO.2019,39296
MONO CO.2019,60595
MONTEREY CO.2019,63249
NAPA CO.2019,79637
NEVADA CO.2019,60610
ORANGE CO.2019,81851
PLACER CO.2019,80488
PLUMAS CO.2019,50266
RIVERSIDE CO.2019,60807
SACRAMENTO CO.2019,60239
SAN BENITO CO.2019,80760
SAN BERNARDINO CO.2019,57156
SAN DIEGO CO.2019,70588
SAN FRANCISCO CO.2019,96265
SAN JOAQUIN CO.2019,57813
SAN LUIS OBISPO CO.2019,67175
SAN MATEO CO.2019,105667
SANTA BARBARA CO.2019,68023
SANTA CLARA CO.2019,106761
SANTA CRUZ CO.2019,73663
SHASTA CO.2019,47258
SIERRA CO.2019,44190
SISKIYOU CO.2019,40884
SOLANO CO.2019,72950
SONOMA CO.2019,71769
STANISLAUS CO.2019,54260
SUTTER CO.2019,54347
TEHAMA CO.2019,42512
TRINITY CO.2019,36563
TULARE CO.2019,44871
TUOLUMNE CO.2019,54325
VENTURA CO.2019,81972
YOLO CO.2019,61621
YUBA CO.2019,51776
